Company Name,Difficulty,Question
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9701-3rd-most-reported-health-issues?code_type=3"",""3rd Most Reported Health Issues"")"
Google + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10303-top-percentile-fraud?code_type=3"",""Top Percentile Fraud"")"
LinkedIn + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9919-unique-highest-salary?code_type=3"",""Unique Highest Salary"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2147-most-expensive-and-cheapest-wine-with-ties?code_type=3"",""Most Expensive And Cheapest Wine With Ties"")"
Yelp,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10046-top-5-states-with-5-star-businesses?code_type=3"",""Top 5 States With 5 Star Businesses"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9739-worst-businesses?code_type=3"",""Worst Businesses"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9883-find-the-oldest-survivor-per-passenger-class?code_type=3"",""Find the oldest survivor per passenger class"")"
Yelp,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9612-keywords-from-yelp-reviews?code_type=3"",""Keywords From Yelp Reviews"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9791-views-per-keyword?code_type=3"",""Views Per Keyword"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9776-common-interests-amongst-users?code_type=3"",""Common Interests Amongst Users"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10067-google-fit-user-tracking?code_type=3"",""Google Fit User Tracking"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9741-inspection-scores-for-businesses?code_type=3"",""Inspection Scores For Businesses"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2105-videos-removed-on-latest-date?code_type=3"",""Videos Removed on Latest Date"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10062-fans-vs-opposition?code_type=3"",""Fans vs Opposition"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2165-sales-percentage-weeks-beginning-and-end?code_type=3"",""Sales Percentage Week's Beginning and End"")"
Amazon,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10319-monthly-percentage-difference?code_type=3"",""Monthly Percentage Difference"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9736-highest-number-of-high-risk-violations?code_type=3"",""Highest Number Of High-risk Violations"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2007-rank-variance-per-country?code_type=3"",""Rank Variance Per Country"")"
Delta Airlines,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2008-the-cheapest-airline-connection?code_type=3"",""The Cheapest Airline Connection"")"
LinkedIn + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9603-find-fare-differences-on-the-titanic-using-a-self-join?code_type=3"",""Find fare differences on the Titanic using a self join"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9822-find-the-average-number-of-friends-a-user-has?code_type=3"",""Find the average number of friends a user has"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2103-reviewed-flags-of-top-videos?code_type=3"",""Reviewed flags of top videos"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9989-highest-paid-city-employees?code_type=3"",""Highest Paid City Employees"")"
Walmart,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10545-same-day-orders?code_type=3"",""Same-Day Orders"")"
IBM,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10358-friday-purchases?code_type=3"",""Friday Purchases"")"
Ebay + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2089-cookbook-recipes?code_type=3"",""Cookbook Recipes"")"
ESPN,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9953-find-the-gender-ratio-between-the-number-of-men-and-women-who-participated-in-each-olympics?code_type=3"",""Olympics Gender Ratio"")"
DoorDash,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2037-delivering-and-placing-orders?code_type=3"",""Delivering and Placing Orders"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10037-find-favourite-wine-variety?code_type=3"",""Find Favourite Wine Variety"")"
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9711-facilities-with-lots-of-inspections?code_type=3"",""Facilities With Lots Of Inspections"")"
Walmart + 2 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9900-median-salary?code_type=3"",""Median Salary"")"
Airbnb,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9632-host-popularity-rental-prices?code_type=3"",""Host Popularity Rental Prices"")"
LinkedIn,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2078-from-microsoft-to-google?code_type=3"",""From Microsoft to Google"")"
Twitch,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2012-viewers-turned-streamers?code_type=3"",""Viewers Turned Streamers"")"
Uber + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2033-find-the-most-profitable-location?code_type=3"",""Find The Most Profitable Location"")"
Ebay + 2 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10172-best-selling-item?code_type=3"",""Best Selling Item"")"
IBM + 2 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2028-new-and-existing-users?code_type=3"",""New And Existing Users"")"
Airbnb,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9763-most-popular-room-types?code_type=3"",""Most Popular Room Types"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10302-distance-per-dollar?code_type=3"",""Distance Per Dollar"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2134-completed-trip-within-168-hours?code_type=3"",""Completed Trip within 168 Hours"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9983-median-job-salaries?code_type=3"",""Median Job Salaries"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10369-spotify-penetration-analysis?code_type=3"",""Spotify Penetration Analysis"")"
Oracle,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2146-department-manager-and-employee-salary-comparison?code_type=3"",""Department Manager and Employee Salary Comparison"")"
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9708-find-the-variance-and-the-standard-deviation-of-scores-that-have-grade-a?code_type=3"",""Find the variance and the standard deviation of scores that have grade A"")"
Block,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10355-employees-with-same-birth-month?code_type=3"",""Employees With Same Birth Month"")"
Cisco Systems,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10546-capitalize-first-letters?code_type=3"",""Capitalize First Letters"")"
Dell + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10081-find-the-number-of-employees-who-received-the-bonus-and-who-didnt?code_type=3"",""Find the number of employees who received the bonus and who didn't"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10284-popularity-percentage?code_type=3"",""Popularity Percentage"")"
Salesforce + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2115-more-than-100-dollars?code_type=3"",""More Than 100 Dollars"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9823-common-letters?code_type=3"",""Common Letters"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9793-average-time-between-steps?code_type=3"",""Average Time Between Steps"")"
DoorDash,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2094-highest-earning-merchants?code_type=3"",""Highest Earning Merchants"")"
ESPN,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9952-name-to-medal-connection?code_type=3"",""Name to Medal Connection"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9818-file-contents-shuffle?code_type=3"",""File Contents Shuffle"")"
Twitter,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9898-unique-salaries?code_type=3"",""Distinct Salaries"")"
ESPN,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9955-norwegian-alpine-skiers?code_type=3"",""Norwegian Alpine Skiers"")"
DoorDash,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2036-lowest-revenue-generated-restaurants?code_type=3"",""Lowest Revenue Generated Restaurants"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9981-employees-without-benefits?code_type=3"",""Employees Without Benefits"")"
Airbnb,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9633-city-with-most-amenities?code_type=3"",""City With Most Amenities"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10084-cum-sum-energy-consumption?code_type=3"",""Cum Sum Energy Consumption"")"
Shopify + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2111-sales-growth-per-territory?code_type=3"",""Sales Growth per Territory"")"
Netflix,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10171-find-the-genre-of-the-person-with-the-most-number-of-oscar-winnings?code_type=3"",""Find the genre of the person with the most number of oscar winnings"")"
Airbnb,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9637-growth-of-airbnb?code_type=3"",""Growth of Airbnb"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2046-maximum-number-of-employees-reached?code_type=3"",""Maximum Number of Employees Reached"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10350-algorithm-performance?code_type=3"",""Algorithm Performance"")"
Google + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2059-player-with-longest-streak?code_type=3"",""Player with Longest Streak"")"
Deloitte + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2082-minimum-number-of-platforms?code_type=3"",""Minimum Number of Platforms"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2044-most-senior-junior-employee?code_type=3"",""Most Senior & Junior Employee"")"
Amazon,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2090-first-day-retention-rate?code_type=3"",""First Day Retention Rate"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9790-find-the-number-of-processed-and-not-processed-complaints-of-each-type?code_type=3"",""Find the number of processed and not-processed complaints of each type"")"
ActiveCampaign + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/514-marketing-campaign-success-advanced?code_type=3"",""Marketing Campaign Success [Advanced]"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10013-positive-ad-channels?code_type=3"",""Positive Ad Channels"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10131-business-name-lengths?code_type=3"",""Business Name Lengths"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9821-common-friends-friend?code_type=3"",""Common Friends Friend"")"
Microsoft,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10300-premium-vs-freemium?code_type=3"",""Premium vs Freemium"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9815-price-of-a-handyman?code_type=3"",""Price Of A Handyman"")"
Meta + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2053-retention-rate?code_type=3"",""Retention Rate"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10313-naive-forecasting?code_type=3"",""Naive Forecasting"")"
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9713-find-the-scores-of-4-quartiles-of-each-company?code_type=3"",""Find the scores of 4 quartiles of each company"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9985-above-average-but-not-at-the-top?code_type=3"",""Above Average But Not At The Top"")"
City of Los Angeles,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9714-dates-of-inspection?code_type=3"",""Dates Of Inspection"")"
Uber,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2076-trips-in-consecutive-months?code_type=3"",""Trips in Consecutive Months"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10041-most-expensive-and-cheapest-wine?code_type=3"",""Most Expensive And Cheapest Wine"")"
Google + 2 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2073-popular-posts?code_type=3"",""Popular Posts"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9734-number-of-inspections-by-zip?code_type=3"",""Number Of Inspections By Zip"")"
Whole Foods Market,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2038-wfm-brand-segmentation-based-on-customer-activity?code_type=3"",""WFM Brand Segmentation based on Customer Activity"")"
Shopify + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2112-product-market-share?code_type=3"",""Product Market Share"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10040-find-all-wines-from-the-winemag_p2-dataset-which-are-produced-in-countries-that-have-the-highest-sum-of-points-in-the-winemag_p1-dataset?code_type=3"",""Find all wines from the winemag_p2 dataset which are produced in countries that have the highest sum of points in the winemag_p1 dataset"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2123-product-families?code_type=3"",""Product Families"")"
Amazon,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9608-exclusive-amazon-products?code_type=3"",""Exclusive Amazon Products"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10297-comments-distribution?code_type=3"",""Comments Distribution"")"
Apple + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2029-the-most-popular-client_id-among-users-using-video-and-voice-calls?code_type=3"",""Most Popular Client For Calls"")"
ESPN,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9966-quarterback-with-the-longest-throw?code_type=3"",""Quarterback With The Longest Throw"")"
Meta,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9784-time-between-two-events?code_type=3"",""Time Between Two Events"")"
Google,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9814-counting-instances-in-text?code_type=3"",""Counting Instances in Text"")"
Netflix + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2054-consecutive-days?code_type=3"",""Consecutive Days"")"
City of San Francisco,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10145-make-a-pivot-table-to-find-the-highest-payment-in-each-year-for-each-employee?code_type=3"",""Highest Payment"")"
Wine Magazine,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/10042-top-3-wineries-in-the-world?code_type=3"",""Top 3 Wineries In The World"")"
LinkedIn + 1 more,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/2131-user-streaks?code_type=3"",""User Streaks"")"
ESPN,Hard,"=HYPERLINK(""https://platform.stratascratch.com/coding/9959-olympic-medals-by-chinese-athletes?code_type=3"",""Olympic Medals By Chinese Athletes"")"
